,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
10240,24225545,169100477,0,2.0,3,8002,41.38113,2.17404,1,1,2,1.0,1.0,1.0,30.0,15,0,0,2,3,3,2,7,3.4011973816621555
10241,24226912,182653363,0,1.0,57,8014,41.3691,2.136,1,1,2,1.0,1.0,2.0,18.0,1,0,0,0,0,0,18,7,2.8903717578961645
10242,24228191,31436673,0,3.0,6,8007,41.38749,2.1603,1,1,2,1.0,1.0,1.0,62.0,3,0,6,22,52,142,24,7,4.127134385045092
10243,24228740,182206046,0,1.0,40,8014,41.38481,2.13319,1,1,2,1.0,1.0,1.0,20.0,1,0,0,0,0,221,3,7,2.995732273553991
10244,24236930,2437505,1,1.0,57,8004,41.37309,2.15527,1,1,2,1.0,1.0,1.0,30.0,1,0,0,0,0,0,4,7,3.4011973816621555
10245,24238187,168877958,0,3.0,3,8003,41.38199,2.18488,18,1,3,1.0,1.0,3.0,179.0,1,0,11,34,59,143,5,7,5.187385805840755
10246,24238588,168877958,0,3.0,3,8003,41.38271,2.18343,18,1,2,1.0,1.0,2.0,159.0,1,0,19,47,72,165,32,7,5.0689042022202315
10247,24239102,146682595,1,8.0,57,8014,41.37427,2.14693,1,0,4,1.0,2.0,4.0,75.0,1,0,2,5,31,302,39,7,4.31748811353631
10248,24243226,182785128,0,1.0,18,8006,41.40505,2.14943,1,1,2,1.0,1.0,1.0,69.0,2,0,3,11,30,305,48,7,4.23410650459726
10249,24244026,137608720,0,4.0,57,8904,41.37354,2.12488,1,1,4,1.5,1.0,4.0,93.0,1,0,21,48,78,292,64,7,4.532599493153256
10250,24246157,182550505,0,3.0,56,8003,41.388,2.18082,1,1,4,1.0,2.0,4.0,96.0,1,0,1,3,5,252,24,6,4.564348191467836
10251,24246643,181952663,0,3.0,6,8007,41.39168,2.16489,1,1,5,1.5,1.0,5.0,129.0,1,0,20,48,78,78,51,7,4.859812404361672
10252,24249840,182843116,0,1.0,3,8002,41.3815,2.17864,1,1,2,1.0,1.0,1.0,63.0,2,0,0,7,37,37,14,7,4.143134726391533
10253,24255949,182784585,0,1.0,6,8013,41.40023,2.18383,1,1,2,1.0,1.0,1.0,25.0,1,0,0,0,0,0,5,7,3.2188758248682006
10254,24257237,50889510,0,1.0,21,8012,41.4027,2.15167,1,0,2,1.0,1.0,1.0,53.0,32,0,7,16,46,46,0,8,3.970291913552122
10255,24257390,175514786,0,3.0,3,8003,41.38826,2.17731,1,1,2,1.0,1.0,2.0,90.0,2,0,8,38,68,339,27,6,4.499809670330265
10256,24258457,44939268,0,5.0,19,8001,41.38029,2.16761,1,1,2,1.0,1.0,2.0,36.0,2,0,22,52,82,82,37,7,3.58351893845611
10257,24267805,128012654,0,1.0,6,8013,41.40261,2.17637,10,1,2,2.0,1.0,1.0,40.0,1,0,0,0,0,0,0,8,3.6888794541139363
10258,24274183,157141910,0,4.0,48,8027,41.42542,2.18806,1,1,3,2.0,1.0,2.0,25.0,1,0,27,57,87,172,2,7,3.2188758248682006
10259,24274447,104657074,1,2.0,0,8025,41.40685,2.16527,1,1,1,1.0,1.0,1.0,29.0,2,0,0,0,0,0,13,7,3.367295829986474
10260,24274635,181801030,1,1.0,19,8001,41.37715,2.16677,1,0,2,1.0,1.0,1.0,55.0,32,0,6,9,9,95,6,7,4.007333185232471
10261,24277279,106574945,0,2.0,56,8003,41.38762,2.18007,1,1,1,1.0,1.0,1.0,18.0,1,0,1,8,18,100,89,6,2.8903717578961645
10262,24278676,56640419,0,1.0,6,8011,41.38433,2.15838,1,1,2,1.0,1.0,1.0,65.0,1,0,0,0,0,0,0,7,4.174387269895637
10263,24281016,182670626,0,1.0,44,8016,41.44475,2.18404,1,1,1,1.0,1.0,1.0,20.0,2,0,0,0,0,0,20,7,2.995732273553991
10264,24281767,114516789,1,2.0,54,8020,41.42164,2.20445,1,1,2,1.0,1.0,1.0,39.0,3,0,14,37,66,341,47,7,3.6635616461296463
10265,24284284,967903,1,1.0,6,8013,41.40103,2.17574,1,1,2,1.0,1.0,1.0,55.0,2,0,8,20,50,50,27,7,4.007333185232471
10266,24295747,145488772,0,2.0,57,8004,41.37066,2.16522,1,0,5,1.0,3.0,5.0,152.0,3,0,6,15,32,307,9,6,5.0238805208462765
10267,24298264,9364823,1,1.0,17,8005,41.40111,2.20424,21,1,2,1.0,1.0,1.0,35.0,1,0,14,28,52,327,28,7,3.5553480614894135
10268,24301034,13033664,0,13.0,6,8018,41.39153,2.18429,10,1,2,1.5,1.0,1.0,40.0,30,0,0,0,7,97,0,8,3.6888794541139363
10269,24302385,105436815,1,4.0,57,8004,41.373,2.16298,1,1,2,1.0,1.0,1.0,49.0,4,0,15,15,15,15,12,7,3.8918202981106265
10270,24302743,11327963,0,2.0,0,8025,41.40335,2.16898,10,1,1,1.0,1.0,1.0,30.0,2,0,0,0,22,297,9,7,3.4011973816621555
10271,24305496,183338107,0,1.0,4,8019,41.40583,2.21138,1,1,2,1.5,1.0,1.0,50.0,2,0,0,0,0,0,0,7,3.912023005428146
10272,24306543,860383,1,1.0,19,8001,41.37492,2.17022,1,0,2,1.0,1.0,1.0,48.0,32,0,0,22,52,52,3,7,3.871201010907891
10273,24309250,13710580,1,1.0,59,8021,41.3981,2.14813,1,1,1,1.0,1.0,2.0,60.0,1,0,11,37,65,338,46,7,4.0943445622221
10274,24309551,130091939,1,4.0,19,8004,41.3756,2.17104,1,1,1,1.0,1.0,1.0,31.0,3,0,8,26,34,35,29,7,3.4339872044851463
10275,24310385,183378057,0,2.0,6,8011,41.39033,2.15978,1,1,2,1.5,1.0,2.0,52.0,2,0,22,49,77,77,20,7,3.9512437185814275
10276,24314780,182550505,0,3.0,3,8003,41.38598,2.18117,16,1,2,1.0,1.0,2.0,33.0,2,0,1,9,16,276,26,7,3.4965075614664802
10277,24317754,182550505,0,3.0,56,8003,41.38773,2.17917,1,1,2,1.0,1.0,1.0,33.0,1,0,1,4,7,256,27,7,3.4965075614664802
10278,24318582,170716140,0,133.0,57,8004,41.37309,2.16464,1,0,6,2.0,3.0,6.0,120.0,32,0,30,60,90,365,0,8,4.787491742782046
10279,24322799,63048416,0,29.0,3,8002,41.3846,2.1737,1,0,2,1.0,1.0,1.0,45.0,31,0,2,28,58,333,4,6,3.8066624897703196
10280,24323325,5846874,0,2.0,15,8002,41.38061,2.17553,1,1,2,1.0,1.0,1.0,51.0,2,0,2,20,20,56,19,6,3.9318256327243257
10281,24324367,10547296,0,131.0,5,8013,41.3973,2.17445,1,0,3,1.0,1.0,2.0,150.0,2,0,9,18,23,131,29,6,5.0106352940962555
10282,24324563,10547296,0,131.0,6,8013,41.39696,2.17532,1,0,3,1.0,1.0,2.0,150.0,2,0,3,7,9,108,38,7,5.0106352940962555
